R,G,B,PurpleOrNot,Gender
255.0,0.0,255.0,No,Male
183.0,52.0,235.0,Yes,Male
165.0,14.0,235.0,Yes,Male
14.0,202.0,235.0,No,Male
213.0,204.0,219.0,Yes,Female
232.0,235.0,52.0,No,Male
153.0,26.0,237.0,Yes,Male
235.0,202.0,14.0,No,Male
163.0,2.0,250.0,Yes,Male
123.0,2.0,189.0,Yes,Male
70.0,0.0,117.0,Yes,Male
14.0,235.0,14.0,No,Male
42.0,39.0,130.0,Yes,Male
48.0,158.0,102.0,No,Male
86.0,23.0,145.0,Yes,Female
117.0,70.0,128.0,Yes,Male
71.0,22.0,120.0,Yes,Female
118.0,27.0,209.0,Yes,Female
153.0,31.0,194.0,Yes,Female
31.0,156.0,194.0,No,Female
194.0,136.0,207.0,Yes,Female
110.0,19.0,93.0,Yes,Female
135.0,3.0,156.0,Yes,Male
140.0,27.0,196.0,Yes,Male
55.0,31.0,194.0,No,Female
165.0,82.0,217.0,Yes,Female
105.0,14.0,161.0,Yes,Female
98.0,42.0,133.0,Yes,Female
156.0,73.0,136.0,Yes,Male
230.0,11.0,215.0,No,Male
156.0,16.0,88.0,No,Female
139.0,93.0,168.0,Yes,Female
173.0,26.0,173.0,Yes,Male
250.0,250.0,100.0,No,Male
139.0,107.0,255.0,Yes,Female
50.0,153.0,34.0,No,Female
68.0,69.0,102.0,No,Male
158.0,67.0,191.0,Yes,Male
47.0,27.0,196.0,No,Male
212.0,255.0,243.0,No,Male
187.0,0.0,255.0,Yes,Male
120.0,86.0,133.0,Yes,Male
179.0,16.0,204.0,Yes,Male
110.0,55.0,130.0,Yes,Male
168.0,88.0,196.0,Yes,Male
85.0,20.0,224.0,No,Female
72.0,12.0,135.0,Yes,Female
121.0,128.0,70.0,No,Male
186.0,0.0,237.0,Yes,Male
168.0,12.0,158.0,Yes,Male
255.0,238.0,0.0,No,Male
219.0,66.0,178.0,No,Male
255.0,238.0,0.0,No,Male
75.0,21.0,94.0,Yes,Male
224.0,211.0,22.0,No,Female
150.0,50.0,150.0,Yes,Male
50.0,150.0,120.0,No,Male
98.0,0.0,209.0,Yes,Female
245.0,140.0,238.0,No,Male
75.0,209.0,120.0,No,Male
99.0,87.0,6.0,No,Male
71.0,0.0,107.0,Yes,Male
75.0,6.0,99.0,Yes,Male
12.0,37.0,135.0,No,Female
189.0,76.0,237.0,Yes,Male
0.0,205.0,250.0,No,Female
219.0,66.0,91.0,No,Male
213.0,195.0,230.0,Yes,Female
230.0,220.0,41.0,No,Male
37.0,45.0,196.0,No,Male
138.0,37.0,196.0,Yes,Male
162.0,0.0,255.0,Yes,Male
247.0,0.0,255.0,No,Male
138.0,30.0,232.0,Yes,Male
92.0,204.0,133.0,No,Male
125.0,31.0,219.0,Yes,Male
111.0,16.0,179.0,Yes,Male
33.0,194.0,54.0,No,Male
146.0,27.0,150.0,Yes,Male
99.0,20.0,102.0,Yes,Male
242.0,12.0,235.0,No,Male
112.0,72.0,199.0,Yes,Female
50.0,154.0,199.0,No,Male
66.0,32.0,112.0,Yes,Female
27.0,200.0,50.0,No,Female
200.0,222.0,55.0,No,Female
78.0,10.0,120.0,Yes,Female
30.0,119.0,34.0,No,Male
152.0,163.0,82.0,No,Male
148.0,82.0,64.0,No,Male
124.0,142.0,161.0,No,Male
184.0,61.0,155.0,No,Male
11.0,73.0,135.0,Yes,Male
200.0,255.0,105.0,No,Male
163.0,119.0,124.0,No,Male
5.0,97.0,36.0,No,Male
163.0,33.0,207.0,Yes,Male
25.0,168.0,166.0,No,Female
163.0,80.0,158.0,Yes,Male
87.0,13.0,82.0,Yes,Male
138.0,24.0,150.0,Yes,Male
176.0,34.0,191.0,Yes,Male
125.0,27.0,161.0,Yes,Male
168.0,20.0,222.0,Yes,Male
113.0,21.0,171.0,Yes,Male
7.0,3.0,252.0,No,Male
3.0,252.0,136.0,No,Male
124.0,156.0,38.0,No,Male
156.0,108.0,26.0,No,Male
150.0,24.0,83.0,No,Male
123.0,5.0,250.0,Yes,Female
95.0,26.0,173.0,Yes,Female
108.0,191.0,92.0,No,Female
43.0,224.0,206.0,No,Female
227.0,0.0,252.0,No,Female
1.0,31.0,21.0,No,Female
142.0,16.0,232.0,Yes,Female
0.0,242.0,255.0,No,Male
0.0,128.0,255.0,No,Male
255.0,0.0,162.0,No,Male
115.0,0.0,255.0,Yes,Male
170.0,0.0,255.0,Yes,Male
255.0,213.0,0.0,No,Male
255.0,0.0,220.0,No,Male
206.0,208.0,237.0,No,Female
255.0,98.0,0.0,No,Female
11.0,183.0,222.0,No,Male
206.0,235.0,235.0,No,Female
168.0,61.0,25.0,No,Female
13.0,225.0,0.0,No,Female
119.0,163.0,159.0,No,Male
56.0,21.0,12.0,No,Male
0.0,125.0,178.0,No,Male
51.0,75.0,82.0,No,Male
30.0,106.0,200.0,No,Male
14.0,230.0,125.0,No,Male
102.0,27.0,117.0,Yes,Female
51.0,0.0,255.0,No,Male
158.0,95.0,51.0,No,Male
18.0,22.0,140.0,Yes,Male
148.0,106.0,145.0,Yes,Male
162.0,149.0,201.0,Yes,Male
227.0,198.0,247.0,No,Male
0.0,255.0,255.0,No,Female
82.0,122.0,77.0,No,Male
140.0,143.0,137.0,No,Male
124.0,129.0,196.0,No,Female
120.0,129.0,227.0,No,Male
140.0,60.0,201.0,Yes,Male
80.0,26.0,156.0,Yes,Male
21.0,26.0,74.0,No,Male
219.0,163.0,59.0,No,Female
76.0,245.0,104.0,No,Male
184.0,2.0,171.0,Yes,Male
65.0,50.0,69.0,Yes,Female
237.0,145.0,255.0,No,Male
219.0,59.0,193.0,No,Female
191.0,124.0,124.0,No,Male
92.0,27.0,62.0,Yes,Male
118.0,10.0,138.0,Yes,Male
255.0,0.0,234.0,No,Female
217.0,156.0,50.0,No,Female
245.0,191.0,241.0,No,Male
86.0,176.0,159.0,No,Male
201.0,60.0,60.0,No,Male
138.0,10.0,57.0,No,Male
132.0,255.0,0.0,No,Female
152.0,252.0,3.0,No,Female
140.0,98.0,95.0,No,Female
106.0,98.0,110.0,No,Male
110.0,19.0,37.0,No,Male
112.0,72.0,232.0,No,Male
27.0,117.0,104.0,No,Female
214.0,70.0,60.0,No,Male
255.0,0.0,0.0,No,Female
140.0,130.0,95.0,No,Female
115.0,99.0,186.0,Yes,Male
125.0,134.0,181.0,No,Male
110.0,61.0,209.0,Yes,Male
255.0,218.0,217.0,No,Female
167.0,227.0,64.0,No,Male
64.0,227.0,178.0,No,Male
35.0,0.0,94.0,Yes,Male
0.0,255.0,0.0,No,Male
3.0,252.0,186.0,No,Female
169.0,252.0,3.0,No,Female
50.0,0.0,82.0,Yes,Male
50.0,255.0,50.0,No,Male
205.0,182.0,217.0,Yes,Female
255.0,255.0,255.0,No,Female
88.0,342.0,81.0,No,Female
20.0,201.0,68.0,No,Male
41.0,74.0,50.0,No,Male
34.0,245.0,147.0,No,Male
171.0,192.0,212.0,No,Male
44.0,41.0,51.0,No,Female
64.0,227.0,99.0,No,Male
33.0,181.0,144.0,No,Male
183.0,222.0,75.0,No,Male
131.0,235.0,52.0,No,Female
148.0,8.0,161.0,Yes,Male
52.0,119.0,235.0,No,Male
0.0,34.0,97.0,No,Male
0.0,255.0,4.0,No,Female
28.0,255.0,8.0,No,Female
6.0,296.0,200.0,No,Female
71.0,8.0,94.0,Yes,Male
176.0,85.0,224.0,Yes,Male
111.0,45.0,135.0,Yes,Male
242.0,202.0,121.0,No,Male
159.0,206.0,209.0,No,Male
112.0,245.0,255.0,No,Male
224.0,196.0,191.0,No,Male
0.0,0.0,0.0,No,Female
252.0,255.0,252.0,No,Female
203.0,109.0,237.0,Yes,Male
150.0,69.0,204.0,Yes,Male
3.0,105.0,25.0,No,Female
191.0,211.0,224.0,No,Male
154.0,32.0,201.0,Yes,Male
31.0,105.0,75.0,No,Male
197.0,145.0,227.0,No,Male
246.0,219.0,255.0,Yes,Male
203.0,109.0,237.0,Yes,Male
240.0,79.0,224.0,Yes,Male
72.0,17.0,156.0,Yes,Male
229.0,194.0,242.0,No,Male
